36,27,231,0
0,0,0,0
36,124,252,2
30,184,255,2
30,214,238,4
34,218,184,4
14,198,112,6
6,168,38,6
52,161,0,8
138,178,0,8
192,164,0,10
199,106,0,10
189,57,26,12
180,30,62,12
160,20,64,14
89,22,147,7
44,64,240,0
40,122,246,2
33,169,251,2
18,218,254,4
32,218,193,4
69,189,104,6
74,176,64,6
128,176,30,8
194,164,40,8
186,116,65,10
164,84,75,10
160,75,94,12
142,51,104,12
119,28,90,14
74,26,156,7
36,66,240,0
26,150,245,2
22,218,246,2
39,224,212,4
58,202,156,4
69,189,104,6
73,176,64,6
90,175,43,8
144,182,22,8
194,164,40,10
186,113,63,10
164,82,73,12
160,75,94,12
144,56,84,14
83,36,153,7
36,66,240,0
28,150,246,2
23,217,246,2
39,224,212,4
58,202,156,4
69,189,104,6
73,176,64,6
90,174,42,8
144,182,22,8
191,164,41,10
182,114,64,10
163,82,72,12
160,75,94,12
144,56,84,14
82,32,162,7
30,52,255,0
14,124,254,2
4,184,254,2
4,214,236,4
0,220,165,4
0,199,56,6
0,168,0,6
42,160,0,8
134,179,0,8
194,166,1,10
204,106,1,10
194,54,26,12
176,22,62,12
156,10,68,14
84,16,152,7
18,63,242,0
6,150,247,2
0,218,248,2
12,226,213,4
40,204,155,4
61,191,101,6
67,178,58,6
86,176,30,8
144,183,9,8
195,164,34,10
186,112,60,10
165,80,72,12
162,72,94,12
146,53,84,14
85,34,154,7
36,66,240,0
27,150,245,2
23,217,246,2
39,224,212,4
58,202,156,4
71,189,104,6
75,176,64,6
90,174,42,8
144,182,22,8
194,164,40,10
184,114,62,10
163,82,72,12
160,75,94,12
144,56,84,14
88,37,130,7
42,36,204,0
45,66,222,2
41,118,240,2
50,162,251,4
54,204,236,4
50,215,182,6
68,196,104,6
96,187,55,8
138,174,22,8
178,164,16,10
192,138,30,10
167,87,36,12
122,46,41,13
61,28,140,7
18,63,242,0
6,150,247,2
0,218,248,2
12,226,213,4
40,204,155,4
61,191,101,6
67,178,58,6
86,176,30,8
142,182,8,8
194,163,32,10
186,112,60,10
165,80,72,12
162,72,94,12
146,53,84,14
78,32,156,7
18,63,242,0
6,150,247,2
0,218,248,2
12,226,213,4
40,204,155,4
61,191,101,6
67,178,58,6
86,176,30,8
143,182,8,8
194,164,32,10
186,112,60,10
165,80,72,12
162,72,94,12
146,53,84,14
96,20,144,7
48,39,223,0
29,120,232,2
10,198,244,2
0,226,216,4
0,204,152,4
1,184,92,6
0,169,30,6
46,164,0,8
138,177,1,8
194,159,0,10
212,106,0,10
210,68,20,12
