status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,4.0,5.0,3.97,Barre,Massachusetts,1005.0,5023.0,1988-06-24,849900.0
for_sale,3.0,3.0,4.08,Barre,Massachusetts,1005.0,2283.0,1996-05-31,449900.0
for_sale,2.0,1.0,0.6,Belchertown,Massachusetts,1007.0,802.0,2009-06-26,169999.0
for_sale,5.0,3.0,0.32,Belchertown,Massachusetts,1007.0,1850.0,2012-12-14,299900.0
for_sale,1.0,1.0,0.31,Belchertown,Massachusetts,1007.0,640.0,2000-08-03,215000.0
for_sale,3.0,3.0,1.08,Belchertown,Massachusetts,1007.0,2360.0,2009-04-01,435000.0
for_sale,3.0,2.0,1.02,Belchertown,Massachusetts,1007.0,1617.0,2001-10-05,364900.0
for_sale,2.0,3.0,30.0,Belchertown,Massachusetts,1007.0,2130.0,2013-06-27,330000.0
for_sale,7.0,3.0,0.09,Dorado,Puerto Rico,949.0,1192.0,2019-06-28,110000.0
for_sale,7.0,3.0,0.09,Dorado,Puerto Rico,949.0,1192.0,2019-06-28,110000.0
for_sale,4.0,4.0,1.5,Pelham,Massachusetts,1002.0,4366.0,1996-07-12,875000.0
for_sale,4.0,2.0,2.0,Pelham,Massachusetts,1002.0,1607.0,2005-07-25,419000.0
for_sale,3.0,2.0,0.25,Holyoke,Massachusetts,1040.0,1637.0,2002-06-26,174900.0
for_sale,5.0,2.0,0.13,Holyoke,Massachusetts,1040.0,1924.0,2001-10-15,175000.0
for_sale,5.0,2.0,1.27,Orange,Massachusetts,1364.0,1495.0,2011-04-29,160000.0
for_sale,2.0,2.0,6.0,Leverett,Massachusetts,1054.0,1779.0,1997-05-29,389900.0
for_sale,3.0,1.0,0.69,Southampton,Massachusetts,1073.0,1200.0,2000-07-10,300000.0
for_sale,4.0,2.0,0.11,Holyoke,Massachusetts,1040.0,1989.0,1992-07-10,239900.0
for_sale,1.0,2.0,0.53,Greenfield,Massachusetts,1301.0,3792.0,2008-09-24,299900.0
for_sale,3.0,2.0,0.22,Easthampton,Massachusetts,1027.0,2037.0,2008-11-20,299900.0
for_sale,5.0,2.0,1.85,South Hadley,Massachusetts,1075.0,4510.0,2005-02-01,759000.0
for_sale,3.0,2.0,0.05,Holyoke,Massachusetts,1040.0,1644.0,2018-01-18,139000.0
for_sale,2.0,1.0,0.25,South Hadley,Massachusetts,1075.0,800.0,2004-07-06,110000.0
for_sale,3.0,2.0,0.25,Holyoke,Massachusetts,1040.0,4620.0,1997-12-12,215000.0
for_sale,4.0,2.0,1.3,Deerfield,Massachusetts,1373.0,2032.0,1993-12-13,386000.0
for_sale,3.0,1.0,3.87,West Springfield,Massachusetts,1089.0,1008.0,1989-07-14,375000.0
for_sale,4.0,5.0,7.81,Hadley,Massachusetts,1035.0,7000.0,1997-08-06,1295000.0
for_sale,4.0,4.0,1.59,Deerfield,Massachusetts,1373.0,3444.0,2002-05-17,799000.0
for_sale,5.0,2.0,0.15,Chicopee,Massachusetts,1020.0,2316.0,2020-09-28,289900.0
for_sale,4.0,2.0,0.17,Chicopee,Massachusetts,1013.0,2030.0,1996-12-30,195500.0
for_sale,3.0,5.0,14.48,Williamsburg,Massachusetts,1038.0,3112.0,2004-04-29,1390000.0
for_sale,3.0,3.0,19.23,Southampton,Massachusetts,1073.0,2268.0,2002-11-22,285000.0
for_sale,2.0,1.0,0.6,Belchertown,Massachusetts,1007.0,802.0,2009-06-26,169999.0
for_sale,1.0,1.0,0.29,Greenfield,Massachusetts,1301.0,640.0,1988-03-01,184900.0
for_sale,2.0,1.0,0.15,Easthampton,Massachusetts,1027.0,1276.0,1996-11-27,195000.0
